,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
155,0 days 00:52:58.909000,STR,18,0 days 00:02:09.477000,11.0,4.0,,,53.037,57.076,19.364,0 days 00:51:42.469000,0 days 00:52:39.545000,0 days 00:52:58.909000,155.0,274.0,265.0,265.0,False,MEDIUM,9.0,False,Aston Martin,0 days 00:50:49.432000,2025-04-05 03:05:50.458,1,,False,,False,True,129.477,129.477
156,0 days 00:54:29.176000,STR,18,0 days 00:01:30.267000,12.0,4.0,,,31.347,41.144,17.776,0 days 00:53:30.256000,0 days 00:54:11.400000,0 days 00:54:29.176000,284.0,294.0,266.0,292.0,True,MEDIUM,10.0,False,Aston Martin,0 days 00:52:58.909000,2025-04-05 03:07:59.935,1,,False,,False,True,90.267,90.267
157,0 days 00:56:23.295000,STR,18,0 days 00:01:54.119000,13.0,4.0,,,41.719,52.948,19.452,0 days 00:55:10.895000,0 days 00:56:03.843000,0 days 00:56:23.295000,245.0,276.0,262.0,265.0,False,MEDIUM,11.0,False,Aston Martin,0 days 00:54:29.176000,2025-04-05 03:09:30.202,1,,False,,False,True,114.119,114.119
158,0 days 00:57:54.313000,STR,18,0 days 00:01:31.018000,14.0,4.0,,,31.9,41.312,17.806,0 days 00:56:55.195000,0 days 00:57:36.507000,0 days 00:57:54.313000,284.0,295.0,263.0,296.0,False,MEDIUM,12.0,False,Aston Martin,0 days 00:56:23.295000,2025-04-05 03:11:24.321,1,,False,,False,True,91.018,91.01799999999999
159,0 days 00:59:58.558000,STR,18,0 days 00:02:04.245000,15.0,4.0,,0 days 00:59:57.203000,35.153,63.391,25.701,0 days 00:58:29.466000,0 days 00:59:32.857000,0 days 00:59:58.558000,249.0,138.0,,240.0,False,MEDIUM,13.0,False,Aston Martin,0 days 00:57:54.313000,2025-04-05 03:12:55.339,1,,False,,False,False,124.245,124.245
160,0 days 01:08:42.833000,STR,18,,16.0,5.0,0 days 01:06:24.066000,0 days 01:08:42.833000,,56.393,,,0 days 01:08:03.254000,,237.0,205.0,,111.0,False,SOFT,1.0,True,Aston Martin,0 days 00:59:58.558000,2025-04-05 03:14:59.584,15,,False,,False,False,,
161,0 days 00:17:58.771000,TSU,22,,1.0,1.0,0 days 00:16:00.711000,,,49.237,20.533,,0 days 00:17:38.434000,0 days 00:17:58.825000,223.0,261.0,266.0,252.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:16:00.711000,2025-04-05 02:31:01.737,1,,False,,False,False,,
162,0 days 00:19:30.401000,TSU,22,0 days 00:01:31.630000,2.0,1.0,,,32.27,41.229,18.131,0 days 00:18:31.041000,0 days 00:19:12.270000,0 days 00:19:30.401000,281.0,290.0,265.0,286.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:17:58.771000,2025-04-05 02:32:59.797,1,,False,,False,True,91.63,91.63
163,0 days 00:30:13.423000,TSU,22,,3.0,1.0,,0 days 00:22:14.589000,59.283,,,0 days 00:20:29.932000,,,110.0,,,,False,HARD,3.0,True,Red Bull Racing,0 days 00:19:30.401000,2025-04-05 02:34:31.427,15,,False,,False,False,,
164,0 days 00:32:28.617000,TSU,22,,4.0,2.0,0 days 00:30:13.423000,,,45.151,19.521,,0 days 00:32:09.268000,0 days 00:32:28.752000,265.0,263.0,269.0,265.0,False,HARD,4.0,False,Red Bull Racing,0 days 00:30:13.423000,2025-04-05 02:45:14.449,1,,False,,False,False,,
165,0 days 00:33:58.647000,TSU,22,0 days 00:01:30.030000,5.0,2.0,,,31.56,40.766,17.704,0 days 00:33:00.177000,0 days 00:33:40.943000,0 days 00:33:58.647000,284.0,294.0,268.0,291.0,True,HARD,5.0,False,Red Bull Racing,0 days 00:32:28.617000,2025-04-05 02:47:29.643,1,,False,,False,True,90.03,90.03
166,0 days 00:36:42.910000,TSU,22,,6.0,2.0,,0 days 00:36:41.526000,57.141,74.239,32.744,0 days 00:34:56.023000,0 days 00:36:10.166000,0 days 00:36:43.026000,95.0,146.0,,144.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:33:58.647000,2025-04-05 02:48:59.673,1,,False,,False,False,,164.124
167,0 days 00:39:16.454000,TSU,22,,7.0,3.0,0 days 00:37:10.104000,,75.494,55.083,23.024,0 days 00:37:58.577000,0 days 00:38:53.568000,0 days 00:39:16.553000,164.0,263.0,271.0,197.0,False,HARD,1.0,False,Red Bull Racing,0 days 00:36:42.910000,2025-04-05 02:51:43.936,1,,False,,False,False,,153.601
168,0 days 00:40:45.913000,TSU,22,0 days 00:01:29.459000,8.0,3.0,,,31.306,40.467,17.686,0 days 00:39:47.760000,0 days 00:40:28.227000,0 days 00:40:45.913000,286.0,293.0,269.0,292.0,True,HARD,2.0,False,Red Bull Racing,0 days 00:39:16.454000,2025-04-05 02:54:17.480,1,,False,,False,True,89.459,89.459
169,0 days 00:43:28.786000,TSU,22,,9.0,3.0,,0 days 00:43:27.473000,55.157,75.802,31.868,0 days 00:41:41.288000,0 days 00:42:56.973000,0 days 00:43:28.786000,136.0,156.0,,145.0,False,HARD,3.0,False,Red Bull Racing,0 days 00:40:45.913000,2025-04-05 02:55:46.939,1,,False,,False,False,,162.827
170,0 days 00:46:05.619000,TSU,22,,10.0,4.0,0 days 00:43:47.364000,,79.92,55.358,21.674,0 days 00:44:48.896000,0 days 00:45:44.181000,0 days 00:46:05.759000,163.0,260.0,269.0,253.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:43:28.786000,2025-04-05 02:58:29.812,1,,False,,False,False,,156.952
